index_date,index_open,index_high,index_low,index_close,index_volume,index_return_pct
2024-07-03,7153.77,7196.75,7126.81,7196.75,126775400,
2024-07-04,7212.7,7262.84,7204.44,7220.89,158574300,0.3353
2024-07-05,7248.72,7275.94,7213.39,7253.37,130902100,0.4498
2024-07-08,7261.98,7265.08,7215.47,7250.98,160069900,-0.033
2024-07-09,7254.16,7302.94,7239.64,7269.8,136101900,0.2596
2024-07-10,7283.19,7313.2,7272.12,7287.04,214279500,0.2372
2024-07-11,7302.5,7328.27,7274.06,7300.41,146390900,0.1834
2024-07-12,7336.48,7354.16,7300.75,7327.58,130722300,0.3722
2024-07-15,7336.31,7346.1,7252.81,7278.86,107422000,-0.6648
2024-07-16,7289.81,7294.79,7213.28,7224.29,107863200,-0.7497
2024-07-17,7261.22,7265.09,7207.58,7224.22,218209000,-0.001
2024-07-18,7231.73,7330.81,7220.1,7321.07,146217900,1.3407
2024-07-19,7304.28,7315.14,7249.82,7294.5,125286800,-0.363
2024-07-22,7316.25,7341.91,7301.42,7321.98,140918600,0.3767
2024-07-23,7336.28,7347.02,7293.31,7313.86,251719000,-0.1109
2024-07-24,7298.51,7311.15,7249.28,7262.76,149278800,-0.6986
2024-07-25,7264.21,7268.05,7207.82,7240.28,125922000,-0.3096
2024-07-26,7262.13,7298.96,7256.53,7288.17,128745600,0.6614
2024-07-29,7304.6,7333.9,7274.25,7288.9,131946800,0.01
2024-07-30,7283.92,7292.56,7226.78,7241.86,124088300,-0.6453
2024-07-31,7251.8,7275.19,7226.5,7255.76,140459400,0.1919
2024-08-01,7274.52,7325.98,7258.87,7325.98,119012300,0.9678
2024-08-02,7304.09,7337.98,7264.01,7308.12,130681400,-0.2438
2024-08-05,7254.61,7257.48,6998.81,7059.65,196047200,-3.3999
2024-08-06,7098.67,7167.26,7066.5,7129.21,122457600,0.9853
2024-08-07,7149.51,7246.26,7147.29,7212.13,128572200,1.163
2024-08-08,7212.74,7234.45,7181.77,7195.12,125248900,-0.2358
2024-08-09,7219.98,7267.42,7219.92,7257.0,112712600,0.86
2024-08-12,7265.15,7297.62,7230.79,7297.62,156405500,0.5599
2024-08-13,7316.43,7366.65,7286.55,7356.64,146066800,0.8087
2024-08-14,7377.01,7445.66,7372.89,7436.04,168060500,1.0793
2024-08-15,7442.91,7460.39,7386.74,7409.5,150416800,-0.3569
2024-08-16,7443.94,7459.75,7417.21,7432.09,151268200,0.3049
2024-08-19,7428.74,7466.83,7420.38,7466.83,138674400,0.4674
2024-08-20,7490.32,7538.16,7482.5,7533.98,183613200,0.8994
2024-08-21,7563.08,7594.55,7543.64,7554.59,199930800,0.2735
2024-08-22,7531.35,7540.27,7460.4,7488.68,140745300,-0.8725
2024-08-23,7510.66,7567.51,7507.74,7544.3,128771000,0.7427
2024-08-26,7549.41,7619.9,7549.41,7606.19,142108800,0.8204
2024-08-27,7598.46,7610.2,7547.26,7597.88,141150100,-0.1093
2024-08-28,7604.33,7672.29,7581.05,7658.88,152042100,0.8028
2024-08-29,7679.53,7715.76,7627.6,7627.6,153940300,-0.4083
2024-08-30,7642.78,7673.18,7616.35,7670.73,194479000,0.5654
2024-09-02,7686.54,7726.19,7669.92,7694.53,156165700,0.3102
2024-09-03,7706.65,7726.66,7598.47,7616.52,165704700,-1.0138
2024-09-04,7577.1,7672.9,7546.05,7672.9,147636500,0.7402
2024-09-05,7679.65,7722.23,7650.8,7681.04,137717400,0.1062
2024-09-06,7684.81,7754.48,7683.7,7721.85,122729500,0.5312
2024-09-09,7729.25,7748.33,7654.73,7702.74,138539000,-0.2474
2024-09-10,7725.28,7764.78,7723.3,7761.39,196539800,0.7614
2024-09-11,7770.27,7802.48,7736.78,7760.96,171932600,-0.0056
2024-09-12,7782.02,7833.27,7782.02,7798.15,252749100,0.4793
2024-09-13,7805.69,7828.97,7775.64,7812.13,162457200,0.1792
2024-09-17,7832.52,7854.02,7802.27,7831.78,216113800,0.2515
2024-09-18,7845.81,7879.04,7818.96,7829.13,241800200,-0.0338
2024-09-19,7858.11,7910.56,7853.35,7905.39,259454000,0.974
2024-09-20,7904.4,7904.51,7738.32,7743.0,317741900,-2.0541
2024-09-23,7743.2,7775.73,7675.29,7775.73,260227800,0.4227
2024-09-24,7774.56,7810.54,7717.84,7778.49,182808900,0.0355
2024-09-25,7747.85,7760.88,7633.45,7740.9,276661800,-0.4832
2024-09-26,7723.1,7763.08,7673.05,7744.52,202756700,0.0467
2024-09-27,7713.8,7736.92,7663.48,7696.92,190512300,-0.6146
2024-09-30,7674.29,7679.24,7527.93,7527.93,222223500,-2.1955
2024-10-01,7551.46,7642.13,7547.11,7642.13,206962900,1.5171
2024-10-02,7601.74,7619.1,7501.46,7563.26,315317300,-1.032
2024-10-03,7567.45,7581.33,7504.41,7543.83,189365800,-0.257
2024-10-04,7531.79,7549.23,7467.8,7496.09,223945300,-0.6328
2024-10-07,7493.66,7540.24,7450.2,7504.13,235809600,0.1073
2024-10-08,7486.72,7592.88,7449.48,7557.14,194830700,0.7064
2024-10-09,7556.56,7595.58,7501.22,7501.29,169190500,-0.7391
2024-10-10,7501.87,7528.95,7467.82,7480.08,157952700,-0.2827
2024-10-11,7520.53,7549.54,7506.28,7520.6,159472100,0.5417
2024-10-14,7518.81,7570.27,7518.81,7559.65,205872100,0.5193
2024-10-15,7579.05,7635.04,7573.45,7626.95,218732600,0.8902
2024-10-16,7645.21,7658.4,7616.6,7648.94,197424300,0.2883
2024-10-17,7661.07,7758.67,7657.72,7735.04,224594300,1.1256
2024-10-18,7762.15,7790.71,7718.68,7760.06,234291900,0.3235
2024-10-21,7780.25,7795.09,7739.89,7772.6,246855900,0.1615
2024-10-22,7752.38,7801.4,7731.96,7788.98,286785700,0.2108
2024-10-23,7774.01,7805.92,7761.25,7787.56,269650200,-0.0182
2024-10-24,7778.66,7794.86,7716.55,7716.55,242869700,-0.9119
2024-10-25,7717.43,7752.25,7678.18,7694.66,205788500,-0.2837
2024-10-28,7705.87,7714.74,7599.62,7634.63,197205700,-0.7801
2024-10-29,7625.47,7666.43,7587.21,7606.6,182774700,-0.3672
2024-10-30,7558.8,7581.91,7521.73,7569.85,168203300,-0.4831
2024-10-31,7569.72,7617.36,7558.68,7574.02,203290200,0.0551
2024-11-01,7573.79,7583.69,7485.46,7505.26,155270800,-0.9079
2024-11-04,7505.11,7529.7,7415.81,7479.5,212287900,-0.3431
2024-11-05,7474.45,7497.0,7451.55,7491.93,182653900,0.1662
2024-11-06,7495.13,7506.6,7363.03,7383.87,235788800,-1.4424
2024-11-07,7373.57,7381.76,7243.86,7243.86,204087800,-1.8961
2024-11-08,7263.96,7350.36,7263.96,7287.19,148863600,0.5982
2024-11-11,7259.29,7282.2,7182.31,7266.46,221004900,-0.2845
2024-11-12,7271.17,7344.07,7268.61,7321.99,287694700,0.7641
2024-11-13,7344.01,7370.39,7304.87,7308.67,226286700,-0.1818
2024-11-14,7303.9,7318.78,7214.56,7214.56,209423400,-1.2876
2024-11-15,7192.21,7241.66,7122.68,7161.26,213100000,-0.7388
2024-11-18,7152.08,7174.75,7118.87,7134.28,191734000,-0.3768
2024-11-19,7140.19,7229.83,7136.69,7195.71,205098000,0.8612
2024-11-20,7214.0,7229.71,7171.27,7180.33,164074200,-0.2137
2024-11-21,7168.33,7209.36,7140.91,7140.91,155717100,-0.549
2024-11-22,7154.68,7215.69,7154.45,7195.56,205841500,0.7653
2024-11-25,7218.95,7329.49,7218.83,7314.11,264819900,1.6474
2024-11-26,7329.53,7341.6,7245.89,7245.89,164096700,-0.9327
2024-11-28,7215.91,7249.69,7195.67,7200.16,178995100,-0.6311
2024-11-29,7168.0,7189.13,7107.28,7114.27,218431100,-1.1929
2024-12-02,7117.75,7153.03,7041.34,7046.99,163941100,-0.9457
2024-12-03,7104.93,7196.02,7102.22,7196.02,176316700,2.1148
2024-12-04,7198.1,7328.32,7187.48,7326.76,166379200,1.8169
2024-12-05,7326.02,7338.6,7283.5,7313.31,131417800,-0.1836
2024-12-06,7302.67,7382.81,7287.6,7382.79,130161700,0.9499
2024-12-09,7382.61,7440.98,7380.66,7437.73,230130900,0.7442
2024-12-10,7448.77,7457.81,7396.79,7453.29,203350400,0.2092
2024-12-11,7444.86,7530.56,7444.17,7464.75,235486300,0.1538
2024-12-12,7441.97,7470.89,7380.03,7394.24,147665300,-0.9446
2024-12-13,7379.75,7399.9,7324.79,7324.79,120050700,-0.9392
2024-12-16,7304.22,7320.79,7204.65,7258.63,186546900,-0.9032
2024-12-17,7238.17,7263.31,7132.06,7157.73,157427600,-1.3901
2024-12-18,7168.97,7216.88,7105.07,7107.88,122373300,-0.6965
2024-12-19,7034.62,7040.55,6951.05,6977.24,170862900,-1.8379
2024-12-20,6980.17,7032.4,6931.58,6983.87,145749700,0.095
2024-12-23,7037.53,7096.44,7035.73,7096.44,138664700,1.612
2024-12-24,7115.64,7120.58,7063.75,7065.75,110632900,-0.4326
